domain_id,grouping_id,major_field,sub_category,exact_category,arxiv_category
166,2.2,engineering and technology,mechanical engineering,audio engineering,eess.AS
167,2.2,engineering and technology,mechanical engineering,nuclear related engineering,nucl-th
168,2.2,engineering and technology,mechanical engineering,nuclear related engineering,physics.app-ph
169,2.2,engineering and technology,mechanical engineering,thermodynamics,physics.app-ph
170,2.3,engineering and technology,materials engineering,ceramics,physics.app-ph
171,2.3,engineering and technology,materials engineering,coating and films,physics.app-ph
172,2.3,engineering and technology,materials engineering,composites,physics.app-ph
173,2.3,engineering and technology,materials engineering,paper and wood ,physics.app-ph
174,2.3,engineering and technology,materials engineering,textiles,physics.app-ph
175,2.3,engineering and technology,materials engineering,other,physics.app-ph
176,2.4,engineering and technology,nano-technology,nano-materials,physics.app-ph
177,2.4,engineering and technology,nano-technology,nano-processes,physics.app-ph
178,2.4,engineering and technology,nano-technology,other,physics.app-ph
179,3.1,social sciences,"economics, finance and business",business and management ,q-fin.PM
180,3.1,social sciences,"economics, finance and business",business and management ,q-fin.PR
181,3.1,social sciences,"economics, finance and business",business and management ,q-fin.RM
182,3.1,social sciences,"economics, finance and business",economics and econometrics ,q-fin.ST
183,3.1,social sciences,"economics, finance and business",economics and econometrics ,econ.EM
184,3.1,social sciences,"economics, finance and business",economics and econometrics ,econ.TH
185,3.1,social sciences,"economics, finance and business",economics and econometrics ,econ.GN
186,3.1,social sciences,"economics, finance and business",economics and econometrics ,q-fin.EC
187,3.1,social sciences,"economics, finance and business",finance,q-fin.GN
188,3.1,social sciences,"economics, finance and business",finance,q-fin.CP
189,3.1,social sciences,"economics, finance and business",finance,q-fin.MF
190,3.1,social sciences,"economics, finance and business",industrial relations ,q-fin.TR
