publication_id,domain_id,major_field,sub_category,exact_category,arxiv_category
200019.0,7,natural sciences,mathematics,statistics and probability,math.PR
200028.0,7,natural sciences,mathematics,statistics and probability,math.PR
250019.0,7,natural sciences,mathematics,statistics and probability,math.PR
250028.0,7,natural sciences,mathematics,statistics and probability,math.PR
200041.0,9,natural sciences,mathematics,other,math.QA
250041.0,9,natural sciences,mathematics,other,math.QA
200026.0,10,natural sciences,mathematics,other,math.RA
250026.0,10,natural sciences,mathematics,other,math.RA
,11,natural sciences,mathematics,other,math.RT
,12,natural sciences,mathematics,other,math.SG
,13,natural sciences,mathematics,other,math.SP
,6,natural sciences,mathematics,statistics and probability,math.ST
200041.0,130,natural sciences,physical sciences,mathematical physics,math-ph
250041.0,130,natural sciences,physical sciences,mathematical physics,math-ph
,143,natural sciences,physical sciences,other,nlin.AO
200044.0,144,natural sciences,physical sciences,other,nlin.CD
250044.0,144,natural sciences,physical sciences,other,nlin.CD
,145,natural sciences,physical sciences,other,nlin.CG
200021.0,146,natural sciences,physical sciences,other,nlin.PS
200024.0,146,natural sciences,physical sciences,other,nlin.PS
200045.0,146,natural sciences,physical sciences,other,nlin.PS
250021.0,146,natural sciences,physical sciences,other,nlin.PS
250024.0,146,natural sciences,physical sciences,other,nlin.PS
250045.0,146,natural sciences,physical sciences,other,nlin.PS
200045.0,147,natural sciences,physical sciences,other,nlin.SI
250045.0,147,natural sciences,physical sciences,other,nlin.SI
,135,natural sciences,physical sciences,nuclear physics,nucl-ex
200039.0,134,natural sciences,physical sciences,nuclear physics,nucl-th
250039.0,134,natural sciences,physical sciences,nuclear physics,nucl-th
200039.0,154,natural sciences,chemical sciences,inorganic and nuclear chemistry,nucl-th
250039.0,154,natural sciences,chemical sciences,inorganic and nuclear chemistry,nucl-th
200039.0,167,engineering and technology,mechanical engineering,nuclear related engineering,nucl-th
250039.0,167,engineering and technology,mechanical engineering,nuclear related engineering,nucl-th
,104,natural sciences,physical sciences,accelerator physics,physics.acc-ph
,87,natural sciences,earth sciences,atmospheric science,physics.ao-ph
,151,natural sciences,physical sciences,other,physics.app-ph
,156,engineering and technology,"electrical, electronic and information engineering",electrical and electronic engineering,physics.app-ph
,159,engineering and technology,"electrical, electronic and information engineering","robotics, automation and control systems",physics.app-ph
,164,engineering and technology,mechanical engineering,applied mechanics,physics.app-ph
,168,engineering and technology,mechanical engineering,nuclear related engineering,physics.app-ph
,169,engineering and technology,mechanical engineering,thermodynamics,physics.app-ph
,170,engineering and technology,materials engineering,ceramics,physics.app-ph
,171,engineering and technology,materials engineering,coating and films,physics.app-ph
,172,engineering and technology,materials engineering,composites,physics.app-ph
,173,engineering and technology,materials engineering,paper and wood ,physics.app-ph
,174,engineering and technology,materials engineering,textiles,physics.app-ph
,175,engineering and technology,materials engineering,other,physics.app-ph
,176,engineering and technology,nano-technology,nano-materials,physics.app-ph
,177,engineering and technology,nano-technology,nano-processes,physics.app-ph
,178,engineering and technology,nano-technology,other,physics.app-ph
,113,natural sciences,physical sciences,atomic,physics.atm-clus
,133,natural sciences,physical sciences,molecular physics,physics.atm-clus
,112,natural sciences,physical sciences,atomic,physics.atom-ph
,94,natural sciences,biology science,biophysics,physics.bio-ph
200021.0,114,natural sciences,physical sciences,chemical physics,physics.chem-ph
250021.0,114,natural sciences,physical sciences,chemical physics,physics.chem-ph
,138,natural sciences,physical sciences,physics,physics.class-ph
200033.0,115,natural sciences,physical sciences,computational physics,physics.comp-ph
200035.0,115,natural sciences,physical sciences,computational physics,physics.comp-ph
200037.0,115,natural sciences,physical sciences,computational physics,physics.comp-ph
200038.0,115,natural sciences,physical sciences,computational physics,physics.comp-ph
250033.0,115,natural sciences,physical sciences,computational physics,physics.comp-ph
250035.0,115,natural sciences,physical sciences,computational physics,physics.comp-ph
250037.0,115,natural sciences,physical sciences,computational physics,physics.comp-ph
250038.0,115,natural sciences,physical sciences,computational physics,physics.comp-ph
,149,natural sciences,physical sciences,other,physics.data-an
,150,natural sciences,physical sciences,other,physics.ed-ph
,125,natural sciences,physical sciences,fluid mechanics,physics.flu-dyn
200003.0,137,natural sciences,physical sciences,physics,physics.gen-ph
200042.0,137,natural sciences,physical sciences,physics,physics.gen-ph
250003.0,137,natural sciences,physical sciences,physics,physics.gen-ph
250042.0,137,natural sciences,physical sciences,physics,physics.gen-ph
,88,natural sciences,earth sciences,geophysics,physics.geo-ph
,148,natural sciences,physical sciences,other,physics.hist-ph
,157,engineering and technology,"electrical, electronic and information engineering",electrical and electronic engineering,physics.ins-det
,132,natural sciences,physical sciences,medical physics,physics.med-ph
200033.0,136,natural sciences,physical sciences,optics,physics.optics
200035.0,136,natural sciences,physical sciences,optics,physics.optics
200037.0,136,natural sciences,physical sciences,optics,physics.optics
200038.0,136,natural sciences,physical sciences,optics,physics.optics
250033.0,136,natural sciences,physical sciences,optics,physics.optics
250035.0,136,natural sciences,physical sciences,optics,physics.optics
250037.0,136,natural sciences,physical sciences,optics,physics.optics
250038.0,136,natural sciences,physical sciences,optics,physics.optics
200044.0,139,natural sciences,physical sciences,plasma physics,physics.plasm-ph
250044.0,139,natural sciences,physical sciences,plasma physics,physics.plasm-ph
,153,natural sciences,physical sciences,other,physics.pop-ph
,152,natural sciences,physical sciences,other,physics.soc-ph
200044.0,140,natural sciences,physical sciences,space science,physics.space-ph
250044.0,140,natural sciences,physical sciences,space science,physics.space-ph
,91,natural sciences,biology science,biochemistry and molecular biology,q-bio.BM
200034.0,95,natural sciences,biology science,cell biology,q-bio.CB
250034.0,95,natural sciences,biology science,cell biology,q-bio.CB
,93,natural sciences,biology science,bioinformatics,q-bio.GN
,98,natural sciences,biology science,genetics and heredity,q-bio.GN
200021.0,90,natural sciences,biology science,biochemistry and molecular biology,q-bio.MN
200036.0,90,natural sciences,biology science,biochemistry and molecular biology,q-bio.MN
