publication_ID	last_name	first_name	first_name_abbr	extra	position	h_index_real	updated_at
250020	Paar		H. P.			-1	2023-01-06 17:11:05.425728+00:00
250020	Rahatlou		S.			-1	2023-01-06 17:11:05.425728+00:00
250020	Sharma		V.			-1	2023-01-06 17:11:05.425728+00:00
250020	Berryhill		J. W.			-1	2023-01-06 17:11:05.425728+00:00
250020	Campagnari		C.			-1	2023-01-06 17:11:05.425728+00:00
250020	Cunha		A.			-1	2023-01-06 17:11:05.425728+00:00
250020	Dahmes		B.			-1	2023-01-06 17:11:05.425728+00:00
250020	Hong		T. M.			-1	2023-01-06 17:11:05.425728+00:00
250020	Kovalskyi		D.			-1	2023-01-06 17:11:05.425728+00:00
250020	Richman		J. D.			-1	2023-01-06 17:11:05.425728+00:00
250020	Beck		T. W.			-1	2023-01-06 17:11:05.425728+00:00
250020	Eisner		A. M.			-1	2023-01-06 17:11:05.425728+00:00
250020	Flacco		C. J.			-1	2023-01-06 17:11:05.425728+00:00
250020	Heusch		C. A.			-1	2023-01-06 17:11:05.425728+00:00
250020	Kroseberg		J.			-1	2023-01-06 17:11:05.425728+00:00
250020	Lockman		W. S.			-1	2023-01-06 17:11:05.425728+00:00
250020	Schalk		T.			-1	2023-01-06 17:11:05.425728+00:00
250020	Schumm		B. A.			-1	2023-01-06 17:11:05.425728+00:00
250020	Seiden		A.			-1	2023-01-06 17:11:05.425728+00:00
250020	Williams		D. C.			-1	2023-01-06 17:11:05.425728+00:00
250020	Wilson		M. G.			-1	2023-01-06 17:11:05.425728+00:00
250020	Winstrom		L. O.			-1	2023-01-06 17:11:05.425728+00:00
250020	Chen		E.			-1	2023-01-06 17:11:05.425728+00:00
250020	Cheng		C. H.			-1	2023-01-06 17:11:05.425728+00:00
250020	Fang		F.			-1	2023-01-06 17:11:05.425728+00:00
250020	Hitlin		D. G.			-1	2023-01-06 17:11:05.425728+00:00
250020	Narsky		I.			-1	2023-01-06 17:11:05.425728+00:00
250020	Piatenko		T.			-1	2023-01-06 17:11:05.425728+00:00
250020	Porter		F. C.			-1	2023-01-06 17:11:05.425728+00:00
250020	Mancinelli		G.			-1	2023-01-06 17:11:05.425728+00:00
250020	Meadows		B. T.			-1	2023-01-06 17:11:05.425728+00:00
250020	Mishra		K.			-1	2023-01-06 17:11:05.425728+00:00
250020	Sokoloff		M. D.			-1	2023-01-06 17:11:05.425728+00:00
250020	Blanc		F.			-1	2023-01-06 17:11:05.425728+00:00
250020	Bloom		P. C.			-1	2023-01-06 17:11:05.425728+00:00
250020	Chen		S.			-1	2023-01-06 17:11:05.425728+00:00
250020	Ford		W. T.			-1	2023-01-06 17:11:05.425728+00:00
250020	Hirschauer		J. F.			-1	2023-01-06 17:11:05.425728+00:00
250020	Kreisel		A.			-1	2023-01-06 17:11:05.425728+00:00
250020	Nagel		M.			-1	2023-01-06 17:11:05.425728+00:00
250020	Nauenberg		U.			-1	2023-01-06 17:11:05.425728+00:00
250020	Olivas		A.			-1	2023-01-06 17:11:05.425728+00:00
250020	Smith		J. G.			-1	2023-01-06 17:11:05.425728+00:00
250020	Ulmer		K. A.			-1	2023-01-06 17:11:05.425728+00:00
250020	Wagner		S. R.			-1	2023-01-06 17:11:05.425728+00:00
250020	Zhang		J.			-1	2023-01-06 17:11:05.425728+00:00
250020	Gabareen		A. M.			-1	2023-01-06 17:11:05.425728+00:00
250020	Soffer		A.			-1	2023-01-06 17:11:05.425728+00:00
250020	Toki		W. H.			-1	2023-01-06 17:11:05.425728+00:00
250020	Wilson		R. J.			-1	2023-01-06 17:11:05.425728+00:00
250020	Winklmeier		F.			-1	2023-01-06 17:11:05.425728+00:00
250020	Zeng		Q.			-1	2023-01-06 17:11:05.425728+00:00
250020	Altenburg		D. D.			-1	2023-01-06 17:11:05.425728+00:00
250020	Feltresi		E.			-1	2023-01-06 17:11:05.425728+00:00
250020	Hauke		A.			-1	2023-01-06 17:11:05.425728+00:00
250020	Jasper		H.			-1	2023-01-06 17:11:05.425728+00:00
250020	Merkel		J.			-1	2023-01-06 17:11:05.425728+00:00
250020	Petzold		A.			-1	2023-01-06 17:11:05.425728+00:00
250020	Spaan		B.			-1	2023-01-06 17:11:05.425728+00:00
250020	Wacker		K.			-1	2023-01-06 17:11:05.425728+00:00
250020	Brandt		T.			-1	2023-01-06 17:11:05.425728+00:00
250020	Klose		V.			-1	2023-01-06 17:11:05.425728+00:00
250020	Kobel		M. J.			-1	2023-01-06 17:11:05.425728+00:00
250020	Lacker		H. M.			-1	2023-01-06 17:11:05.425728+00:00
250020	Mader		W. F.			-1	2023-01-06 17:11:05.425728+00:00
250020	Nogowski		R.			-1	2023-01-06 17:11:05.425728+00:00
250020	Schubert		J.			-1	2023-01-06 17:11:05.425728+00:00
250020	Schubert		K. R.			-1	2023-01-06 17:11:05.425728+00:00
250020	Schwierz		R.			-1	2023-01-06 17:11:05.425728+00:00
250020	Sundermann		J. E.			-1	2023-01-06 17:11:05.425728+00:00
250020	Volk		A.			-1	2023-01-06 17:11:05.425728+00:00
250020	Bernard		D.			-1	2023-01-06 17:11:05.425728+00:00
250020	Bonneaud		G. R.			-1	2023-01-06 17:11:05.425728+00:00
250020	Latour		E.			-1	2023-01-06 17:11:05.425728+00:00
250020	Lombardo		V.			-1	2023-01-06 17:11:05.425728+00:00
250020	Thiebaux	Ch.	C.			-1	2023-01-06 17:11:05.425728+00:00
